Generating using factory_boy (factories.factory_boy_django_auth_minimal.UserFactory):
         391904 function calls (381920 primitive calls) in 12.530 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      900    0.000    0.000    0.000    0.000 builder.py:104(__contains__)
     1000    0.001    0.000    0.001    0.000 builder.py:107(__getitem__)
      100    0.000    0.000    0.000    0.000 builder.py:114(__iter__)
     1200    0.000    0.000    0.000    0.000 builder.py:122(_items)
      200    0.000    0.000    0.001    0.000 builder.py:129(as_dict)
      100    0.000    0.000    0.002    0.000 builder.py:145(parse_declarations)
      100    0.000    0.000    0.000    0.000 builder.py:196(__init__)
      100    0.000    0.000    0.062    0.001 builder.py:203(resolve)
      100    0.000    0.000    0.000    0.000 builder.py:243(__init__)
      100    0.001    0.000   12.530    0.125 builder.py:249(build)
      200    0.000    0.000    0.001    0.000 builder.py:25(__init__)
     1000    0.000    0.000    0.000    0.000 builder.py:30(split)
      100    0.000    0.000    0.000    0.000 builder.py:322(__init__)
      900    0.001    0.000    0.061    0.000 builder.py:338(__getattr__)
      500    0.000    0.000    0.000    0.000 builder.py:372(__setattr__)
      200    0.000    0.000    0.001    0.000 builder.py:57(copy)
      500    0.001    0.000    0.001    0.000 builder.py:60(update)
      100    0.000    0.000    0.000    0.000 builder.py:86(filter)
      100    0.000    0.000    0.000    0.000 builder.py:98(sorted)
      400    0.000    0.000    0.000    0.000 calendar.py:683(timegm)
        1    0.000    0.000    0.000    0.000 compiler.py:1(<module>)
      100    0.000    0.000    0.000    0.000 compiler.py:1000(get_distinct)
      100    0.000    0.000    0.000    0.000 compiler.py:1106(get_from_clause)
      200    0.001    0.000    0.003    0.000 compiler.py:1483(get_converters)
      100    0.000    0.000    0.000    0.000 compiler.py:1493(apply_converters)
      100    0.000    0.000    0.003    0.000 compiler.py:1504(results_iter)
      300    0.001    0.000    0.163    0.001 compiler.py:1532(execute_sql)
        1    0.000    0.000    0.000    0.000 compiler.py:1623(SQLInsertCompiler)
     1000    0.000    0.000    0.001    0.000 compiler.py:1627(field_as_sql)
     1000    0.000    0.000    0.003    0.000 compiler.py:1659(prepare_value)
     1000    0.000    0.000    0.001    0.000 compiler.py:1688(pre_save_val)
      100    0.000    0.000    0.001    0.000 compiler.py:1697(assemble_as_sql)
      200    0.000    0.000    0.000    0.000 compiler.py:1714(<genexpr>)
     1100    0.000    0.000    0.001    0.000 compiler.py:1715(<genexpr>)
      200    0.000    0.000    0.001    0.000 compiler.py:1721(<genexpr>)
      100    0.001    0.000    0.007    0.000 compiler.py:1732(as_sql)
     1100    0.000    0.000    0.001    0.000 compiler.py:1742(<genexpr>)
      100    0.000    0.000    0.028    0.000 compiler.py:1812(execute_sql)
        1    0.000    0.000    0.000    0.000 compiler.py:1855(SQLDeleteCompiler)
        1    0.000    0.000    0.000    0.000 compiler.py:1912(SQLUpdateCompiler)
      200    0.002    0.000    0.013    0.000 compiler.py:1913(as_sql)
      200    0.000    0.000    0.143    0.001 compiler.py:1977(execute_sql)
      200    0.000    0.000    0.001    0.000 compiler.py:1998(pre_sql_setup)
        1    0.000    0.000    0.000    0.000 compiler.py:2062(SQLAggregateCompiler)
      100    0.000    0.000    0.001    0.000 compiler.py:2087(cursor_iter)
      100    0.000    0.000    0.001    0.000 compiler.py:2093(<lambda>)
      100    0.001    0.000    0.006    0.000 compiler.py:229(get_select)
        1    0.000    0.000    0.000    0.000 compiler.py:30(PositionRef)
      100    0.000    0.000    0.000    0.000 compiler.py:316(_order_by_pairs)
        1    0.000    0.000    0.000    0.000 compiler.py:39(SQLCompiler)
      100    0.000    0.000    0.000    0.000 compiler.py:448(get_order_by)
      400    0.000    0.000    0.000    0.000 compiler.py:46(__init__)
      100    0.000    0.000    0.000    0.000 compiler.py:509(get_extra_select)
     4200    0.002    0.000    0.004    0.000 compiler.py:519(quote_name_unless_alias)
2100/1500    0.001    0.000    0.011    0.000 compiler.py:541(compile)
      100    0.000    0.000    0.006    0.000 compiler.py:70(setup_query)
      200    0.000    0.000    0.000    0.000 compiler.py:71(<genexpr>)
      100    0.001    0.000    0.012    0.000 compiler.py:725(as_sql)
      100    0.000    0.000    0.008    0.000 compiler.py:78(pre_sql_setup)
      100    0.000    0.000    0.000    0.000 compiler.py:94(get_group_by)
      100    0.001    0.000    0.001    0.000 compiler.py:950(get_default_columns)
      600    0.000    0.000    0.003    0.000 connection.py:56(__getitem__)
     1500    0.001    0.000    0.001    0.000 contextlib.py:104(__init__)
     1500    0.000    0.000    0.001    0.000 contextlib.py:132(__enter__)
     1500    0.000    0.000    0.007    0.000 contextlib.py:141(__exit__)
     1500    0.000    0.000    0.001    0.000 contextlib.py:299(helper)
      300    0.000    0.000    0.001    0.000 copy.py:247(_reconstruct)
      300    0.001    0.000    0.002    0.000 copy.py:61(copy)
      300    0.000    0.000    0.000    0.000 copyreg.py:98(__newobj__)
      100    0.000    0.000    0.004    0.000 crypto.py:51(get_random_string)
     2300    0.000    0.000    0.004    0.000 crypto.py:62(<genexpr>)
      100    0.000    0.000   12.191    0.122 crypto.py:70(pbkdf2)
      300    0.000    0.000    0.000    0.000 datastructures.py:195(__init__)
      100    0.000    0.000    0.000    0.000 datastructures.py:199(as_sql)
        2    0.000    0.000    0.000    0.000 datastructures.py:233(__new__)
      300    0.000    0.000    0.000    0.000 datastructures.py:267(__init__)
      100    0.000    0.000    0.000    0.000 datastructures.py:272(__getitem__)
      800    0.001    0.000    0.002    0.000 declarations.py:36(unroll_context)
     2100    0.000    0.000    0.001    0.000 declarations.py:43(<genexpr>)
      100    0.000    0.000   12.293    0.123 declarations.py:645(evaluate_post)
      700    0.000    0.000    0.059    0.000 declarations.py:65(evaluate_pre)
      100    0.000    0.000   12.293    0.123 declarations.py:672(call)
      611    0.000    0.000    0.000    0.000 deconstruct.py:15(__new__)
      200    0.000    0.000    0.014    0.000 decorators.py:26(wrapper)
  200/100    0.000    0.000    0.006    0.000 decorators.py:34(wrapper)
      801    0.000    0.000    0.000    0.000 dispatcher.py:152(send)
      843    0.002    0.000    0.008    0.000 distribution.py:57(choices_distribution)
      100    0.000    0.000    0.000    0.000 django.py:100(_get_manager)
      100    0.000    0.000   12.531    0.125 django.py:117(_generate)
      100    0.000    0.000    0.101    0.001 django.py:124(_get_or_create)
      100    0.000    0.000    0.102    0.001 django.py:168(_create)
      100    0.000    0.000    0.070    0.001 django.py:178(_after_postgeneration)
      100    0.000    0.000    0.000    0.000 django.py:68(get_model_class)
      200    0.000    0.000    0.000    0.000 encoding.py:90(force_bytes)
       11    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
        3    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
        3    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
        3    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
        2    0.000    0.000    0.000    0.000 enum.py:1411(<lambda>)
        1    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       33    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
        1    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
       10    0.000    0.000    0.000    0.000 enum.py:1562(__and__)
       11    0.000    0.000    0.000    0.000 enum.py:726(__call__)
     2200    0.000    0.000    0.000    0.000 enums.py:23(get_builder_phase)
       11    0.000    0.000    0.000    0.000 expressions.py:1127(__init__)
     1400    0.001    0.000    0.003    0.000 expressions.py:1138(as_sql)
     1200    0.000    0.000    0.001    0.000 expressions.py:1154(get_db_converters)
       11    0.000    0.000    0.000    0.000 expressions.py:181(__init__)
      300    0.000    0.000    0.000    0.000 expressions.py:185(__getstate__)
      302    0.000    0.000    0.000    0.000 expressions.py:197(get_source_expressions)
      300    0.000    0.000    0.000    0.000 expressions.py:200(set_source_expressions)
  101/100    0.000    0.000    0.000    0.000 expressions.py:239(contains_aggregate)
  201/200    0.000    0.000    0.000    0.000 expressions.py:241(<genexpr>)
  101/100    0.000    0.000    0.000    0.000 expressions.py:245(contains_over_clause)
  201/200    0.000    0.000    0.000    0.000 expressions.py:247(<genexpr>)
      300    0.000    0.000    0.002    0.000 expressions.py:265(resolve_expression)
      300    0.000    0.000    0.001    0.000 expressions.py:386(get_lookup)
      300    0.000    0.000    0.002    0.000 expressions.py:421(copy)
     1100    0.000    0.000    0.001    0.000 expressions.py:470(select_format)
        1    0.000    0.000    0.028    0.028 factory.py:24(create)
       25    0.000    0.000    0.027    0.001 factory.py:67(_find_provider_class)
      100    0.000    0.000   12.293    0.123 factory_boy_django_auth_minimal.py:51(set_password)
      700    0.001    0.000    0.057    0.000 faker.py:46(evaluate)
      700    0.000    0.000    0.028    0.000 faker.py:64(_get_faker)
        1    0.000    0.000    0.000    0.000 features.py:159(can_return_columns_from_insert)
        2    0.000    0.000    0.000    0.000 functional.py:26(__init__)
      400    0.000    0.000    0.000    0.000 functional.py:264(inner)
        1    0.000    0.000    0.000    0.000 functional.py:286(__init__)
     2314    0.001    0.000    0.001    0.000 functional.py:291(__getattribute__)
